epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1177.18,0.85244,4.80184,1.31128,0.5314,0.27912,0.2453,0.18492,0.90284,7.36706,1.4347,0.000237109,0.000237109,0.000237109
2,2302.57,0.97727,3.45263,1.35356,0.54138,0.3169,0.30081,0.21708,0.94882,4.90541,1.47344,0.00045943,0.00045943,0.00045943
3,3471.7,1.03489,2.57136,1.38015,0.58971,0.40759,0.41361,0.29156,1.06702,2.91056,1.56595,0.000666043,0.000666043,0.000666043
4,4625.28,1.05732,2.11495,1.38832,0.50626,0.42072,0.41078,0.27693,1.05839,2.48062,1.54689,0.000643314,0.000643314,0.000643314
5,5804.9,1.04414,1.83964,1.36734,0.61207,0.46851,0.50133,0.37328,0.94426,1.80598,1.44724,0.000619752,0.000619752,0.000619752
6,6991.48,1.01124,1.65414,1.3491,0.73389,0.45972,0.53018,0.39472,0.90913,1.55333,1.41508,0.00059619,0.00059619,0.00059619
7,8152.96,0.98829,1.55255,1.32553,0.47059,0.56445,0.57407,0.42264,0.98745,1.67293,1.42409,0.000572628,0.000572628,0.000572628
8,9303.69,0.948,1.43826,1.30764,0.6782,0.58665,0.63338,0.48955,0.88298,1.25243,1.34063,0.000549066,0.000549066,0.000549066
9,10464.3,0.94336,1.34628,1.29828,0.57164,0.56562,0.59372,0.45773,0.909,1.29778,1.35562,0.000525504,0.000525504,0.000525504
10,11653.9,0.92737,1.30104,1.2872,0.59911,0.67093,0.65645,0.50886,0.87163,1.15239,1.33308,0.000501942,0.000501942,0.000501942
11,12818.4,0.92463,1.27122,1.28715,0.59972,0.6255,0.615,0.4858,0.84021,1.21311,1.31375,0.00047838,0.00047838,0.00047838
12,13997,0.9087,1.2122,1.27028,0.59794,0.72737,0.68462,0.54165,0.85562,1.12279,1.32274,0.000454818,0.000454818,0.000454818
13,15169.4,0.879,1.18223,1.2586,0.60038,0.69046,0.68473,0.55417,0.80257,1.06121,1.28924,0.000431256,0.000431256,0.000431256
14,16348.9,0.89063,1.15121,1.26035,0.64974,0.67599,0.68761,0.55043,0.81454,0.97266,1.30149,0.000407694,0.000407694,0.000407694
15,17521,0.85196,1.0887,1.23933,0.66674,0.65312,0.67337,0.54315,0.80227,0.97932,1.27509,0.000384132,0.000384132,0.000384132
16,18719.6,0.84696,1.0561,1.23524,0.66654,0.72567,0.72899,0.60838,0.77045,0.94653,1.22848,0.00036057,0.00036057,0.00036057
17,19918.1,0.83551,1.02113,1.23122,0.72185,0.63773,0.70467,0.58528,0.73991,0.87848,1.213,0.000337008,0.000337008,0.000337008
18,21111.4,0.81042,0.98388,1.20688,0.74912,0.6962,0.74601,0.6171,0.76447,0.8638,1.22777,0.000313446,0.000313446,0.000313446
19,22306.1,0.80871,0.96723,1.2048,0.65063,0.70864,0.72113,0.59718,0.73702,0.8742,1.19091,0.000289884,0.000289884,0.000289884
20,23493.9,0.78804,0.92722,1.19602,0.74424,0.75534,0.78597,0.66146,0.72718,0.80193,1.18909,0.000266322,0.000266322,0.000266322
21,24650.2,0.7009,0.77202,1.17803,0.78094,0.76549,0.79722,0.67515,0.70747,0.81638,1.1766,0.00024276,0.00024276,0.00024276
22,25812.9,0.66857,0.67506,1.15095,0.76357,0.76014,0.79661,0.67547,0.72485,0.78661,1.19871,0.000219198,0.000219198,0.000219198
23,26965.1,0.65309,0.6624,1.14224,0.73353,0.75252,0.76431,0.64223,0.69493,0.7623,1.15679,0.000195636,0.000195636,0.000195636
24,28131.7,0.63013,0.6231,1.12358,0.7866,0.73694,0.78449,0.67091,0.68678,0.76515,1.15605,0.000172074,0.000172074,0.000172074
25,29307.1,0.61022,0.58689,1.11078,0.76171,0.77064,0.80505,0.68627,0.68475,0.72397,1.13958,0.000148512,0.000148512,0.000148512
26,30464.3,0.59446,0.54719,1.08774,0.7866,0.78058,0.79562,0.68329,0.65584,0.71149,1.12761,0.00012495,0.00012495,0.00012495
27,31614.5,0.58111,0.53884,1.0822,0.81859,0.77772,0.80915,0.69426,0.64576,0.70231,1.12259,0.000101388,0.000101388,0.000101388
28,32759.3,0.56918,0.51104,1.07817,0.86539,0.73367,0.81391,0.70077,0.64515,0.69745,1.11559,7.7826e-05,7.7826e-05,7.7826e-05
29,33926.7,0.56263,0.50213,1.06813,0.89487,0.7103,0.81801,0.7045,0.63596,0.68577,1.11119,5.4264e-05,5.4264e-05,5.4264e-05
30,35072.2,0.54986,0.4905,1.06092,0.86681,0.73402,0.81715,0.70417,0.6339,0.68684,1.1093,3.0702e-05,3.0702e-05,3.0702e-05
